,S:97,S:98,S:99,Temperature,Duration,627c5788-6fcf-44ff-bc36-c4038a2df350__layera__c,627c5788-6fcf-44ff-bc36-c4038a2df350__layera__b
,mol,Equivalent,g,°C,Second(s),mm/s²,
E.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0
E.1,55.0,0.0,0.0,0.0,0.0,0.0,0.0
E.2,25.0,0.0,545.5,0.0,0.0,0.0,0.0
E.3,33.0,0.0,45345.0,0.0,0.0,0.0,0.0
E.4,44.0,0.0,0.0,0.0,0.0,25.0,0.0
E.5,55.0,0.0,0.0,0.0,0.0,0.0,0.0
E.6,25.0,293.0,545.5,0.0,0.0,0.0,0.0
E.7,33.0,293.0,45345.0,0.0,0.0,25.0,0.0
E.8,44.0,293.0,0.0,0.0,0.0,0.0,0.0
E.9,55.0,293.0,0.0,0.0,0.0,0.0,0.0
E.10,25.0,0.0,45345.0,0.0,0.0,0.0,0.0